time,datetime,date,year,month,day,hour,close,high,low,open,volumefrom,volumeto
1722434400,2024-07-31 14:00:00,2024-07-31,2024,7,31,14,3319.78,3339.31,3306.33,3330.72,20407.19,67814797.09
1722438000,2024-07-31 15:00:00,2024-07-31,2024,7,31,15,3301.08,3320.75,3296.89,3319.78,17910.33,59257074.96
1722441600,2024-07-31 16:00:00,2024-07-31,2024,7,31,16,3289.31,3314.75,3282.48,3301.08,17626.25,58146016.92
1722445200,2024-07-31 17:00:00,2024-07-31,2024,7,31,17,3313.96,3325.31,3284.16,3289.31,18454.45,61014334.55
1722448800,2024-07-31 18:00:00,2024-07-31,2024,7,31,18,3316.62,3322.4,3286.65,3313.96,29966.66,99022543.09
1722452400,2024-07-31 19:00:00,2024-07-31,2024,7,31,19,3265.28,3321.25,3243.15,3316.62,42792.8,140229514.51
1722456000,2024-07-31 20:00:00,2024-07-31,2024,7,31,20,3221.02,3270.65,3216.35,3265.28,38245.87,124050229.55
1722459600,2024-07-31 21:00:00,2024-07-31,2024,7,31,21,3238.12,3242.92,3212.6,3221.02,15464.48,49938315.76
1722463200,2024-07-31 22:00:00,2024-07-31,2024,7,31,22,3242.41,3244.02,3214.19,3238.12,15600.62,50416603.14
1722466800,2024-07-31 23:00:00,2024-07-31,2024,7,31,23,3231.84,3242.94,3223.67,3242.41,11799.21,38148031.77
1722470400,2024-08-01 00:00:00,2024-08-01,2024,8,1,0,3234.29,3242.01,3213.84,3231.84,18473.79,59693886.29
1722474000,2024-08-01 01:00:00,2024-08-01,2024,8,1,1,3210.44,3237.39,3190.98,3234.29,22287.83,71626234.59
1722477600,2024-08-01 02:00:00,2024-08-01,2024,8,1,2,3196.13,3213.0,3175.08,3210.44,28964.21,92463633.67
1722481200,2024-08-01 03:00:00,2024-08-01,2024,8,1,3,3176.63,3196.13,3170.39,3196.13,17102.23,54445165.47
1722484800,2024-08-01 04:00:00,2024-08-01,2024,8,1,4,3146.06,3188.1,3138.34,3176.63,25188.12,79677272.28
1722488400,2024-08-01 05:00:00,2024-08-01,2024,8,1,5,3183.66,3183.77,3134.76,3146.06,19710.81,62337266.56
1722492000,2024-08-01 06:00:00,2024-08-01,2024,8,1,6,3167.07,3183.7,3162.78,3183.66,12093.89,38371423.32
1722495600,2024-08-01 07:00:00,2024-08-01,2024,8,1,7,3165.27,3179.45,3163.48,3167.07,10697.47,33924519.55
1722499200,2024-08-01 08:00:00,2024-08-01,2024,8,1,8,3182.46,3182.58,3164.03,3165.27,11879.63,37716288.13
1722502800,2024-08-01 09:00:00,2024-08-01,2024,8,1,9,3178.51,3192.33,3178.18,3182.46,9402.71,29950116.89
1722506400,2024-08-01 10:00:00,2024-08-01,2024,8,1,10,3188.92,3190.69,3174.67,3178.51,8045.79,25611486.85
1722510000,2024-08-01 11:00:00,2024-08-01,2024,8,1,11,3186.97,3191.72,3181.99,3188.92,9946.57,31704921.66
1722513600,2024-08-01 12:00:00,2024-08-01,2024,8,1,12,3195.02,3205.24,3185.02,3186.97,13292.55,42482160.56
1722517200,2024-08-01 13:00:00,2024-08-01,2024,8,1,13,3181.9,3198.02,3172.45,3195.02,17730.11,56442233.19
